> Ready on http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access locally via http://localhost:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access on network via http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
2025-01-11T13:07:30.791Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:07:30.794Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:07:30.795Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:07:30.795Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:07:30.796Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:07:30.796Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:07:30.806Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:07:30.832Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:07:30.907Z - GET /favicon.ico
2025-01-11T13:07:30.909Z - GET /customers?_rsc=1wtp7
2025-01-11T13:07:30.911Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:07:30.913Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:07:30.914Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:07:30.915Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:07:30.936Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:07:30.938Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:07:30.940Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:07:30.942Z - GET /_next/static/chunks/736-a58d37d1b8d6336e.js
2025-01-11T13:07:30.942Z - GET /_next/static/chunks/app/customers/page-bc7f0b2a4a66e32f.js
2025-01-11T13:07:32.034Z - GET /api/customers
2025-01-11T13:07:34.821Z - GET /settings?_rsc=1iwkq
2025-01-11T13:07:34.828Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
2025-01-11T13:07:42.805Z - GET /settings
2025-01-11T13:07:42.854Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:07:42.855Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:07:42.856Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:07:42.856Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:07:42.856Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:07:42.857Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:07:42.860Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
2025-01-11T13:07:42.862Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:07:42.863Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:07:42.872Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:07:42.918Z - GET /?_rsc=1ivqj
2025-01-11T13:07:42.919Z - GET /customers?_rsc=1ivqj
2025-01-11T13:07:42.921Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:07:42.922Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:07:42.923Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:07:42.924Z - GET /favicon.ico
2025-01-11T13:07:43.281Z - GET /settings
2025-01-11T13:07:43.325Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:07:43.327Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:07:43.327Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:07:43.328Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:07:43.328Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:07:43.328Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:07:43.332Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
2025-01-11T13:07:43.334Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:07:43.336Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:07:43.347Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:07:43.389Z - GET /?_rsc=1ivqj
